MCQID,ID,country,prompt,choices,choice_countries,answer_idx,full_res,final_ans,iteration,persona,reasoning
New-pe-65_70,New-pe-65,South_Korea,"How many subjects are taught in secondary schools in South Korea? (Provide Arabic numerals (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 10
B. 12
C. 7
D. 8

Answer:","{
    ""A"": ""10"",
    ""B"": ""12"",
    ""C"": ""7"",
    ""D"": ""8""
}","{
    ""A"": ""Northern_Nigeria"",
    ""B"": ""South_Korea"",
    ""C"": ""UK"",
    ""D"": ""US""
}",B,B,B,1,,
New-en-87_650,New-en-87,South_Korea,"What is the most famous historic landmark in South Korea? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. geumgang mountatin
B. gyeongbokgung palace
C. rang ghar
D. sate building

Answer:","{
    ""A"": ""geumgang mountatin"",
    ""B"": ""gyeongbokgung palace"",
    ""C"": ""rang ghar"",
    ""D"": ""sate building""
}","{
    ""A"": ""North_Korea"",
    ""B"": ""South_Korea"",
    ""C"": ""Assam"",
    ""D"": ""West_Java""
}",B,B,B,1,,
New-su-88_49,New-su-88,South_Korea,"What is the most popular music genre among the younger population in South Korea? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bank
B. bihu
C. modern
D. pop song

Answer:","{
    ""A"": ""bank"",
    ""B"": ""bihu"",
    ""C"": ""modern"",
    ""D"": ""pop song""
}","{
    ""A"": ""Greece"",
    ""B"": ""Assam"",
    ""C"": ""Ethiopia"",
    ""D"": ""South_Korea""
}",D,D,D,1,,
New-pe-11_514,New-pe-11,China,"What is the most common spice/herb used in dishes from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. garlic
B. knorr
C. star anise
D. wormseed

Answer:","{
    ""A"": ""garlic"",
    ""B"": ""knorr"",
    ""C"": ""star anise"",
    ""D"": ""wormseed""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""Ethiopia"",
    ""C"": ""China"",
    ""D"": ""Mexico""
}",C,C,C,1,,
New-pe-85_733,New-pe-85,China,"Where is the most popular tourist destination abroad for people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. america
B. italy
C. london
D. switzerland

Answer:","{
    ""A"": ""america"",
    ""B"": ""italy"",
    ""C"": ""london"",
    ""D"": ""switzerland""
}","{
    ""A"": ""China"",
    ""B"": ""Greece"",
    ""C"": ""Spain"",
    ""D"": ""Assam""
}",A,B,B,1,,
Na-ko-37_345,Na-ko-37,China,"What is the most popular domestic vacation spot for people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. baekdusan
B. cancun
C. caspian sea coast
D. west lake

Answer:","{
    ""A"": ""baekdusan"",
    ""B"": ""cancun"",
    ""C"": ""caspian sea coast"",
    ""D"": ""west lake""
}","{
    ""A"": ""North_Korea"",
    ""B"": ""Mexico"",
    ""C"": ""Iran"",
    ""D"": ""China""
}",D,D,D,1,,
Ta-pe-22_54,Ta-pe-22,China,"Which daily exercise is popular among women in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. badminton
B. knitting
C. pilates
D. yoga

Answer:","{
    ""A"": ""badminton"",
    ""B"": ""knitting"",
    ""C"": ""pilates"",
    ""D"": ""yoga""
}","{
    ""A"": ""West_Java"",
    ""B"": ""dummy"",
    ""C"": ""South_Korea"",
    ""D"": ""China""
}",D,A,A,1,,
New-ch-23_39,New-ch-23,China,"Who is the most famous table tennis player in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. li bun-hui
B. ma long
C. monalisa boruwa mehta
D. noshad alamiyan

Answer:","{
    ""A"": ""li bun-hui"",
    ""B"": ""ma long"",
    ""C"": ""monalisa boruwa mehta"",
    ""D"": ""noshad alamiyan""
}","{
    ""A"": ""North_Korea"",
    ""B"": ""China"",
    ""C"": ""Assam"",
    ""D"": ""Iran""
}",B,B,B,1,,
New-ha-13_398,New-ha-13,China,"Which is the most popular vegetable in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. chili pepper
B. chinese cabbage
C. potatoes
D. radish

Answer:","{
    ""A"": ""chili pepper"",
    ""B"": ""chinese cabbage"",
    ""C"": ""potatoes"",
    ""D"": ""radish""
}","{
    ""A"": ""Mexico"",
    ""B"": ""China"",
    ""C"": ""Algeria"",
    ""D"": ""North_Korea""
}",B,B,B,1,,
Th-en-19_1115,Th-en-19,China,"What is a city or region in China known for manufacturing industry? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. catalonia
B. dibrugarh
C. pyongyang
D. suzhou

Answer:","{
    ""A"": ""catalonia"",
    ""B"": ""dibrugarh"",
    ""C"": ""pyongyang"",
    ""D"": ""suzhou""
}","{
    ""A"": ""Spain"",
    ""B"": ""Assam"",
    ""C"": ""North_Korea"",
    ""D"": ""China""
}",D,D,D,1,,
New-pe-02_675,New-pe-02,China,"What is the most famous edible souvenir for tourists in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fermented cassava
B. mooncake
C. rock candy
D. tacos

Answer:","{
    ""A"": ""fermented cassava"",
    ""B"": ""mooncake"",
    ""C"": ""rock candy"",
    ""D"": ""tacos""
}","{
    ""A"": ""West_Java"",
    ""B"": ""China"",
    ""C"": ""UK"",
    ""D"": ""Mexico""
}",B,B,B,1,,
New-ha-13_449,New-ha-13,China,"Which is the most popular vegetable in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. basil
B. chinese cabbage
C. mustard greens
D. water spinach

Answer:","{
    ""A"": ""basil"",
    ""B"": ""chinese cabbage"",
    ""C"": ""mustard greens"",
    ""D"": ""water spinach""
}","{
    ""A"": ""Iran"",
    ""B"": ""China"",
    ""C"": ""Assam"",
    ""D"": ""West_Java""
}",B,B,B,1,,
New-ha-13_417,New-ha-13,China,"Which is the most popular vegetable in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. carrots
B. chinese cabbage
C. cucumber
D. radish

Answer:","{
    ""A"": ""carrots"",
    ""B"": ""chinese cabbage"",
    ""C"": ""cucumber"",
    ""D"": ""radish""
}","{
    ""A"": ""UK"",
    ""B"": ""China"",
    ""C"": ""Azerbaijan"",
    ""D"": ""North_Korea""
}",B,B,B,1,,
Na-ko-37_288,Na-ko-37,China,"What is the most popular domestic vacation spot for people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cancun
B. caspian sea coast
C. great wall
D. halkidiki

Answer:","{
    ""A"": ""cancun"",
    ""B"": ""caspian sea coast"",
    ""C"": ""great wall"",
    ""D"": ""halkidiki""
}","{
    ""A"": ""Mexico"",
    ""B"": ""Iran"",
    ""C"": ""China"",
    ""D"": ""Greece""
}",C,A,A,1,,
Th-en-19_910,Th-en-19,China,"What is a city or region in China known for manufacturing industry? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cikarang
B. monterrey
C. sumgait
D. suzhou

Answer:","{
    ""A"": ""cikarang"",
    ""B"": ""monterrey"",
    ""C"": ""sumgait"",
    ""D"": ""suzhou""
}","{
    ""A"": ""West_Java"",
    ""B"": ""Mexico"",
    ""C"": ""Azerbaijan"",
    ""D"": ""China""
}",D,D,D,1,,
New-pe-11_333,New-pe-11,China,"What is the most common spice/herb used in dishes from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cumin
B. oregano
C. pepper
D. turmeric

Answer:","{
    ""A"": ""cumin"",
    ""B"": ""oregano"",
    ""C"": ""pepper"",
    ""D"": ""turmeric""
}","{
    ""A"": ""China"",
    ""B"": ""Greece"",
    ""C"": ""Assam"",
    ""D"": ""Indonesia""
}",A,C,C,1,,
Th-en-19_702,Th-en-19,China,"What is a city or region in China known for manufacturing industry? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. detroit
B. isfahan
C. kano
D. shenzhen

Answer:","{
    ""A"": ""detroit"",
    ""B"": ""isfahan"",
    ""C"": ""kano"",
    ""D"": ""shenzhen""
}","{
    ""A"": ""US"",
    ""B"": ""Iran"",
    ""C"": ""Northern_Nigeria"",
    ""D"": ""China""
}",D,D,D,1,,
Th-en-19_938,Th-en-19,China,"What is a city or region in China known for manufacturing industry? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. catalonia
B. kerawang
C. suzhou
D. ulsan

Answer:","{
    ""A"": ""catalonia"",
    ""B"": ""kerawang"",
    ""C"": ""suzhou"",
    ""D"": ""ulsan""
}","{
    ""A"": ""Spain"",
    ""B"": ""Indonesia"",
    ""C"": ""China"",
    ""D"": ""South_Korea""
}",C,C,C,1,,
Jo-sp-19_927,Jo-sp-19,China,"What region in China has been traditionally associated with agriculture? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. andalusia
B. henan
C. hwanghae province
D. yorkshire

Answer:","{
    ""A"": ""andalusia"",
    ""B"": ""henan"",
    ""C"": ""hwanghae province"",
    ""D"": ""yorkshire""
}","{
    ""A"": ""Spain"",
    ""B"": ""China"",
    ""C"": ""North_Korea"",
    ""D"": ""UK""
}",B,B,B,1,,
Th-en-11_494,Th-en-11,China,"Who is the most popular sportperson in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. ali daei
B. heung min son
C. mahrez
D. yao ming

Answer:","{
    ""A"": ""ali daei"",
    ""B"": ""heung min son"",
    ""C"": ""mahrez"",
    ""D"": ""yao ming""
}","{
    ""A"": ""Iran"",
    ""B"": ""South_Korea"",
    ""C"": ""Algeria"",
    ""D"": ""China""
}",D,D,D,1,,
Sa-en-1_143,Sa-en-1,China,"What is China's most popular fast food chain? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. domino's
B. kentucky fried chicken
C. little caesar's
D. market

Answer:","{
    ""A"": ""domino's"",
    ""B"": ""kentucky fried chicken"",
    ""C"": ""little caesar's"",
    ""D"": ""market""
}","{
    ""A"": ""Assam"",
    ""B"": ""China"",
    ""C"": ""Mexico"",
    ""D"": ""North_Korea""
}",B,B,B,1,,
Ni-en-20_209,Ni-en-20,China,"At what age do most people start working in China? (Provide Arabic numerals (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 18
B. 22
C. 25
D. 30

Answer:","{
    ""A"": ""18"",
    ""B"": ""22"",
    ""C"": ""25"",
    ""D"": ""30""
}","{
    ""A"": ""UK"",
    ""B"": ""China"",
    ""C"": ""South_Korea"",
    ""D"": ""Northern_Nigeria""
}",B,A,A,1,,
New-in-03_1443,New-in-03,China,"What type of food from China is typically served in restaurants overseas? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. couscous
B. dumplings
C. moussaka
D. rendang

Answer:","{
    ""A"": ""couscous"",
    ""B"": ""dumplings"",
    ""C"": ""moussaka"",
    ""D"": ""rendang""
}","{
    ""A"": ""Algeria"",
    ""B"": ""China"",
    ""C"": ""Greece"",
    ""D"": ""Indonesia""
}",B,B,B,1,,
Sa-en-13_474,Sa-en-13,China,"What is the food that is most divisive (either love or hate) in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. durian
B. mint chocolate
C. omelette with onion
D. tamale sandwich

Answer:","{
    ""A"": ""durian"",
    ""B"": ""mint chocolate"",
    ""C"": ""omelette with onion"",
    ""D"": ""tamale sandwich""
}","{
    ""A"": ""China"",
    ""B"": ""South_Korea"",
    ""C"": ""Spain"",
    ""D"": ""Mexico""
}",A,A,A,1,,
Sa-en-16_869,Sa-en-16,China,"What is the most popular soccer team among the people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. giorgis sport club
B. guangzhou fc
C. mca
D. persepolis

Answer:","{
    ""A"": ""giorgis sport club"",
    ""B"": ""guangzhou fc"",
    ""C"": ""mca"",
    ""D"": ""persepolis""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""China"",
    ""C"": ""Algeria"",
    ""D"": ""Iran""
}",B,B,B,1,,
Ta-pe-32_483,Ta-pe-32,China,"What day of the year is usually dedicated to fireworks in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. diwali
B. easter
C. eid al-fitr
D. spring festival's eve

Answer:","{
    ""A"": ""diwali"",
    ""B"": ""easter"",
    ""C"": ""eid al-fitr"",
    ""D"": ""spring festival's eve""
}","{
    ""A"": ""Assam"",
    ""B"": ""Greece"",
    ""C"": ""Indonesia"",
    ""D"": ""China""
}",D,D,D,1,,
Ta-pe-17_292,Ta-pe-17,China,"In the Olympic Games, which sport is the most popular in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. archery
B. badminton
C. ping pong
D. soccer

Answer:","{
    ""A"": ""archery"",
    ""B"": ""badminton"",
    ""C"": ""ping pong"",
    ""D"": ""soccer""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""Indonesia"",
    ""C"": ""China"",
    ""D"": ""Spain""
}",C,C,C,1,,
New-en-90_745,New-en-90,China,"What is the most famous hotel brand in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. camino real
B. espinas palace
C. home inns
D. paradise

Answer:","{
    ""A"": ""camino real"",
    ""B"": ""espinas palace"",
    ""C"": ""home inns"",
    ""D"": ""paradise""
}","{
    ""A"": ""Mexico"",
    ""B"": ""Iran"",
    ""C"": ""China"",
    ""D"": ""Assam""
}",C,C,C,1,,
Th-en-24_1522,Th-en-24,China,"What region in China is a major hub for tech workers and start ups? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. london
B. shenzhen
C. silicon valley
D. tehran

Answer:","{
    ""A"": ""london"",
    ""B"": ""shenzhen"",
    ""C"": ""silicon valley"",
    ""D"": ""tehran""
}","{
    ""A"": ""UK"",
    ""B"": ""China"",
    ""C"": ""US"",
    ""D"": ""Iran""
}",B,B,B,1,,
New-ko-04_179,New-ko-04,China,"Which toys are most popular among boys in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. beads
B. cars
C. toy car
D. video games

Answer:","{
    ""A"": ""beads"",
    ""B"": ""cars"",
    ""C"": ""toy car"",
    ""D"": ""video games""
}","{
    ""A"": ""Algeria"",
    ""B"": ""UK"",
    ""C"": ""China"",
    ""D"": ""US""
}",C,B,B,1,,
New-ch-70_138,New-ch-70,China,"What compulsory courses do university students have in common in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. all
B. marxism
C. mathematics
D. not-applicable

Answer:","{
    ""A"": ""all"",
    ""B"": ""marxism"",
    ""C"": ""mathematics"",
    ""D"": ""not-applicable""
}","{
    ""A"": ""North_Korea"",
    ""B"": ""China"",
    ""C"": ""Ethiopia"",
    ""D"": ""Algeria""
}",B,B,B,1,,
Th-en-12_712,Th-en-12,China,"In which sport has China been most successful in international competitions? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. archery
B. ping pong
C. rugby
D. wrestling

Answer:","{
    ""A"": ""archery"",
    ""B"": ""ping pong"",
    ""C"": ""rugby"",
    ""D"": ""wrestling""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""China"",
    ""C"": ""UK"",
    ""D"": ""Iran""
}",B,B,B,1,,
Th-en-39_147,Th-en-39,China,"What is a popular family game in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. hide and seek
B. monopoly
C. parcheesi
D. yutnori

Answer:","{
    ""A"": ""hide and seek"",
    ""B"": ""monopoly"",
    ""C"": ""parcheesi"",
    ""D"": ""yutnori""
}","{
    ""A"": ""China"",
    ""B"": ""UK"",
    ""C"": ""Spain"",
    ""D"": ""South_Korea""
}",A,D,D,1,,
New-pe-85_750,New-pe-85,China,"Where is the most popular tourist destination abroad for people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. america
B. georgia
C. mexico
D. switzerland

Answer:","{
    ""A"": ""america"",
    ""B"": ""georgia"",
    ""C"": ""mexico"",
    ""D"": ""switzerland""
}","{
    ""A"": ""China"",
    ""B"": ""Azerbaijan"",
    ""C"": ""US"",
    ""D"": ""Assam""
}",A,A,A,1,,
New-en-87_1952,New-en-87,China,"What is the most famous historic landmark in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. forbidden city
B. geumgang mountatin
C. sate building
D. stonehenge

Answer:","{
    ""A"": ""forbidden city"",
    ""B"": ""geumgang mountatin"",
    ""C"": ""sate building"",
    ""D"": ""stonehenge""
}","{
    ""A"": ""China"",
    ""B"": ""North_Korea"",
    ""C"": ""West_Java"",
    ""D"": ""UK""
}",A,A,A,1,,
New-en-87_1776,New-en-87,China,"What is the most famous historic landmark in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. forbidden city
B. maiden tower
C. sate building
D. white house

Answer:","{
    ""A"": ""forbidden city"",
    ""B"": ""maiden tower"",
    ""C"": ""sate building"",
    ""D"": ""white house""
}","{
    ""A"": ""China"",
    ""B"": ""Azerbaijan"",
    ""C"": ""West_Java"",
    ""D"": ""US""
}",A,A,A,1,,
New-ha-13_407,New-ha-13,China,"Which is the most popular vegetable in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. chili pepper
B. chinese cabbage
C. cucumber
D. water spinach

Answer:","{
    ""A"": ""chili pepper"",
    ""B"": ""chinese cabbage"",
    ""C"": ""cucumber"",
    ""D"": ""water spinach""
}","{
    ""A"": ""Mexico"",
    ""B"": ""China"",
    ""C"": ""Azerbaijan"",
    ""D"": ""West_Java""
}",B,B,B,1,,
Th-en-19_932,Th-en-19,China,"What is a city or region in China known for manufacturing industry? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. athens
B. detroit
C. kerawang
D. suzhou

Answer:","{
    ""A"": ""athens"",
    ""B"": ""detroit"",
    ""C"": ""kerawang"",
    ""D"": ""suzhou""
}","{
    ""A"": ""Greece"",
    ""B"": ""US"",
    ""C"": ""Indonesia"",
    ""D"": ""China""
}",D,D,D,1,,
Th-en-19_865,Th-en-19,China,"What is a city or region in China known for manufacturing industry? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. kerawang
B. monterrey
C. sumgait
D. suzhou

Answer:","{
    ""A"": ""kerawang"",
    ""B"": ""monterrey"",
    ""C"": ""sumgait"",
    ""D"": ""suzhou""
}","{
    ""A"": ""Indonesia"",
    ""B"": ""Mexico"",
    ""C"": ""Azerbaijan"",
    ""D"": ""China""
}",D,D,D,1,,
New-en-87_1764,New-en-87,China,"What is the most famous historic landmark in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. angel of independence
B. forbidden city
C. maiden tower
D. rang ghar

Answer:","{
    ""A"": ""angel of independence"",
    ""B"": ""forbidden city"",
    ""C"": ""maiden tower"",
    ""D"": ""rang ghar""
}","{
    ""A"": ""Mexico"",
    ""B"": ""China"",
    ""C"": ""Azerbaijan"",
    ""D"": ""Assam""
}",B,B,B,1,,
Jo-sp-19_1063,Jo-sp-19,China,"What region in China has been traditionally associated with agriculture? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. crete
B. honam
C. mitidja
D. northeast

Answer:","{
    ""A"": ""crete"",
    ""B"": ""honam"",
    ""C"": ""mitidja"",
    ""D"": ""northeast""
}","{
    ""A"": ""Greece"",
    ""B"": ""South_Korea"",
    ""C"": ""Algeria"",
    ""D"": ""China""
}",D,D,D,1,,
Ni-en-17_42,Ni-en-17,China,"How many hours a week does a full-time worker in China typically work? (Provide Arabic numerals (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 12
B. 40
C. 48
D. 8

Answer:","{
    ""A"": ""12"",
    ""B"": ""40"",
    ""C"": ""48"",
    ""D"": ""8""
}","{
    ""A"": ""Northern_Nigeria"",
    ""B"": ""China"",
    ""C"": ""Ethiopia"",
    ""D"": ""Indonesia""
}",B,B,B,1,,
New-en-79_1211,New-en-79,China,"Which region of China is well known for its theatrical performances? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. beijing
B. kano
C. madrid
D. new york city

Answer:","{
    ""A"": ""beijing"",
    ""B"": ""kano"",
    ""C"": ""madrid"",
    ""D"": ""new york city""
}","{
    ""A"": ""China"",
    ""B"": ""Northern_Nigeria"",
    ""C"": ""Spain"",
    ""D"": ""US""
}",A,A,A,1,,
New-en-79_1309,New-en-79,China,"Which region of China is well known for its theatrical performances? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bandung
B. beijing
C. new york city
D. pyongyang

Answer:","{
    ""A"": ""bandung"",
    ""B"": ""beijing"",
    ""C"": ""new york city"",
    ""D"": ""pyongyang""
}","{
    ""A"": ""West_Java"",
    ""B"": ""China"",
    ""C"": ""US"",
    ""D"": ""North_Korea""
}",B,B,B,1,,
New-in-03_1425,New-in-03,China,"What type of food from China is typically served in restaurants overseas? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. couscous
B. dumplings
C. paella
D. rendang

Answer:","{
    ""A"": ""couscous"",
    ""B"": ""dumplings"",
    ""C"": ""paella"",
    ""D"": ""rendang""
}","{
    ""A"": ""Algeria"",
    ""B"": ""China"",
    ""C"": ""Spain"",
    ""D"": ""Indonesia""
}",B,B,B,1,,
Th-en-11_502,Th-en-11,China,"Who is the most popular sportperson in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. heung min son
B. lovlina borgohain
C. mahrez
D. yao ming

Answer:","{
    ""A"": ""heung min son"",
    ""B"": ""lovlina borgohain"",
    ""C"": ""mahrez"",
    ""D"": ""yao ming""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""Assam"",
    ""C"": ""Algeria"",
    ""D"": ""China""
}",D,D,D,1,,
New-en-79_1281,New-en-79,China,"Which region of China is well known for its theatrical performances? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bandung
B. beijing
C. madrid
D. new york city

Answer:","{
    ""A"": ""bandung"",
    ""B"": ""beijing"",
    ""C"": ""madrid"",
    ""D"": ""new york city""
}","{
    ""A"": ""West_Java"",
    ""B"": ""China"",
    ""C"": ""Spain"",
    ""D"": ""US""
}",B,B,B,1,,
Ji-ko-07_582,Ji-ko-07,China,"What is the most famous private company in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. alibaba
B. dangote company
C. pasha holding
D. zara

Answer:","{
    ""A"": ""alibaba"",
    ""B"": ""dangote company"",
    ""C"": ""pasha holding"",
    ""D"": ""zara""
}","{
    ""A"": ""China"",
    ""B"": ""Northern_Nigeria"",
    ""C"": ""Azerbaijan"",
    ""D"": ""Spain""
}",A,A,A,1,,
New-spme-65_182,New-spme-65,China,"What is the most popular way to celebrate Independence Day in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. drinking
B. holding various competitions
C. traditional bravary song
D. travel

Answer:","{
    ""A"": ""drinking"",
    ""B"": ""holding various competitions"",
    ""C"": ""traditional bravary song"",
    ""D"": ""travel""
}","{
    ""A"": ""Mexico"",
    ""B"": ""West_Java"",
    ""C"": ""Ethiopia"",
    ""D"": ""China""
}",D,D,D,1,,
New-ha-13_375,New-ha-13,China,"Which is the most popular vegetable in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. basil
B. chinese cabbage
C. cucumber
D. potatoes

Answer:","{
    ""A"": ""basil"",
    ""B"": ""chinese cabbage"",
    ""C"": ""cucumber"",
    ""D"": ""potatoes""
}","{
    ""A"": ""Iran"",
    ""B"": ""China"",
    ""C"": ""Azerbaijan"",
    ""D"": ""Algeria""
}",B,B,B,1,,
New-en-87_1746,New-en-87,China,"What is the most famous historic landmark in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 1821
B. forbidden city
C. gyeongbokgung palace
D. maiden tower

Answer:","{
    ""A"": ""1821"",
    ""B"": ""forbidden city"",
    ""C"": ""gyeongbokgung palace"",
    ""D"": ""maiden tower""
}","{
    ""A"": ""Greece"",
    ""B"": ""China"",
    ""C"": ""South_Korea"",
    ""D"": ""Azerbaijan""
}",B,B,B,1,,
Na-ko-37_444,Na-ko-37,China,"What is the most popular domestic vacation spot for people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cancun
B. florida
C. forbidden city
D. halkidiki

Answer:","{
    ""A"": ""cancun"",
    ""B"": ""florida"",
    ""C"": ""forbidden city"",
    ""D"": ""halkidiki""
}","{
    ""A"": ""Mexico"",
    ""B"": ""US"",
    ""C"": ""China"",
    ""D"": ""Greece""
}",C,B,B,1,,
New-in-34_975,New-in-34,China,"What region in China is usually associated with oil? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. TX
B. absheron
C. daqing
D. south

Answer:","{
    ""A"": ""TX"",
    ""B"": ""absheron"",
    ""C"": ""daqing"",
    ""D"": ""south""
}","{
    ""A"": ""US"",
    ""B"": ""Azerbaijan"",
    ""C"": ""China"",
    ""D"": ""Iran""
}",C,C,C,1,,
New-pe-02_618,New-pe-02,China,"What is the most famous edible souvenir for tourists in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. peking duck
B. saffron
C. sour fish curry
D. souvlaki

Answer:","{
    ""A"": ""peking duck"",
    ""B"": ""saffron"",
    ""C"": ""sour fish curry"",
    ""D"": ""souvlaki""
}","{
    ""A"": ""China"",
    ""B"": ""Iran"",
    ""C"": ""Assam"",
    ""D"": ""Greece""
}",A,A,A,1,,
