MCQID,ID,country,prompt,choices,choice_countries,answer_idx,full_res,final_ans
New-en-87_1695,New-en-87,China,"What is the most famous historic landmark in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. axum
B. borobudur temple.
C. great wall
D. white house

Answer:","{
    ""A"": ""axum"",
    ""B"": ""borobudur temple."",
    ""C"": ""great wall"",
    ""D"": ""white house""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""Indonesia"",
    ""C"": ""China"",
    ""D"": ""US""
}",C,"{""answer_choice"": ""C""}",C
New-spme-68_77,New-spme-68,China,"What is the most popular beverage among children in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bubble tea
B. coca cola
C. horlicks
D. teh botol

Answer:","{
    ""A"": ""bubble tea"",
    ""B"": ""coca cola"",
    ""C"": ""horlicks"",
    ""D"": ""teh botol""
}","{
    ""A"": ""China"",
    ""B"": ""Mexico"",
    ""C"": ""Assam"",
    ""D"": ""Indonesia""
}",A,"{""answer_choice"": ""A""}",A
Na-ko-11_364,Na-ko-11,China,"What do people from China eat while watching a soccer game? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fritters
B. hotdog
C. potato chips
D. seed

Answer:","{
    ""A"": ""fritters"",
    ""B"": ""hotdog"",
    ""C"": ""potato chips"",
    ""D"": ""seed""
}","{
    ""A"": ""Indonesia"",
    ""B"": ""US"",
    ""C"": ""China"",
    ""D"": ""Iran""
}",C,"{""answer_choice"": ""A""}",A
New-en-90_797,New-en-90,China,"What is the most famous hotel brand in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aurès
B. camino real
C. home inns
D. paradise

Answer:","{
    ""A"": ""aurès"",
    ""B"": ""camino real"",
    ""C"": ""home inns"",
    ""D"": ""paradise""
}","{
    ""A"": ""Algeria"",
    ""B"": ""Mexico"",
    ""C"": ""China"",
    ""D"": ""Assam""
}",C,"{""answer_choice"":""C""}",C
Ji-ko-07_353,Ji-ko-07,China,"What is the most famous private company in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. pasha holding
B. samsung
C. tencent
D. zara

Answer:","{
    ""A"": ""pasha holding"",
    ""B"": ""samsung"",
    ""C"": ""tencent"",
    ""D"": ""zara""
}","{
    ""A"": ""Azerbaijan"",
    ""B"": ""South_Korea"",
    ""C"": ""China"",
    ""D"": ""Spain""
}",C,"{""answer_choice"": ""C""}",C
New-en-90_798,New-en-90,China,"What is the most famous hotel brand in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. aurès
B. camino real
C. four seasons
D. home inns

Answer:","{
    ""A"": ""aurès"",
    ""B"": ""camino real"",
    ""C"": ""four seasons"",
    ""D"": ""home inns""
}","{
    ""A"": ""Algeria"",
    ""B"": ""Mexico"",
    ""C"": ""Azerbaijan"",
    ""D"": ""China""
}",D,"{""answer_choice"": ""C""}",C
Sa-en-16_834,Sa-en-16,China,"What is the most popular soccer team among the people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. guangzhou fc
B. not-applicable
C. olympiacos
D. persib

Answer:","{
    ""A"": ""guangzhou fc"",
    ""B"": ""not-applicable"",
    ""C"": ""olympiacos"",
    ""D"": ""persib""
}","{
    ""A"": ""China"",
    ""B"": ""US"",
    ""C"": ""Greece"",
    ""D"": ""West_Java""
}",A,"{""answer_choice"": ""A""}",A
Ta-pe-42_36,Ta-pe-42,China,"What food do people from China usually eat on New Year's Eve? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. dumplings
B. mashed food
C. not-applicable
D. russian salad

Answer:","{
    ""A"": ""dumplings"",
    ""B"": ""mashed food"",
    ""C"": ""not-applicable"",
    ""D"": ""russian salad""
}","{
    ""A"": ""China"",
    ""B"": ""Northern_Nigeria"",
    ""C"": ""Algeria"",
    ""D"": ""Azerbaijan""
}",A,"{""answer_choice"": ""A""}",A
New-az-26_30,New-az-26,China,"Who is the most popular martial arts player in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. canelo
B. iko uwais
C. jet li
D. rafael aghayev

Answer:","{
    ""A"": ""canelo"",
    ""B"": ""iko uwais"",
    ""C"": ""jet li"",
    ""D"": ""rafael aghayev""
}","{
    ""A"": ""Mexico"",
    ""B"": ""Indonesia"",
    ""C"": ""China"",
    ""D"": ""Azerbaijan""
}",C,"{""answer_choice"": ""C""}",C
Sa-en-37_456,Sa-en-37,China,"What is the most popular family boardgame in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. carrom
B. mahjong
C. parcheesi
D. snakes and ladders

Answer:","{
    ""A"": ""carrom"",
    ""B"": ""mahjong"",
    ""C"": ""parcheesi"",
    ""D"": ""snakes and ladders""
}","{
    ""A"": ""Assam"",
    ""B"": ""China"",
    ""C"": ""Spain"",
    ""D"": ""Indonesia""
}",B,"{""answer_choice"": ""B""}",B
Na-ko-37_437,Na-ko-37,China,"What is the most popular domestic vacation spot for people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. baekdusan
B. caspian sea coast
C. dali ancient town
D. halkidiki

Answer:","{
    ""A"": ""baekdusan"",
    ""B"": ""caspian sea coast"",
    ""C"": ""dali ancient town"",
    ""D"": ""halkidiki""
}","{
    ""A"": ""North_Korea"",
    ""B"": ""Iran"",
    ""C"": ""China"",
    ""D"": ""Greece""
}",C,"{""answer_choice"": ""C""}",C
Th-en-24_1689,Th-en-24,China,"What region in China is a major hub for tech workers and start ups? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. addis ababa
B. guwahati
C. pangyo
D. shenzhen

Answer:","{
    ""A"": ""addis ababa"",
    ""B"": ""guwahati"",
    ""C"": ""pangyo"",
    ""D"": ""shenzhen""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""Assam"",
    ""C"": ""South_Korea"",
    ""D"": ""China""
}",D,"{""answer_choice"": ""D""}",D
New-pe-65_133,New-pe-65,China,"How many subjects are taught in secondary schools in China? (Provide Arabic numerals (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 11
B. 6
C. 8
D. 9

Answer:","{
    ""A"": ""11"",
    ""B"": ""6"",
    ""C"": ""8"",
    ""D"": ""9""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""Assam"",
    ""C"": ""US"",
    ""D"": ""China""
}",D,"{""answer_choice"":""A""}",A
New-in-34_953,New-in-34,China,"What region in China is usually associated with oil? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bauchi
B. daqing
C. somali region
D. south

Answer:","{
    ""A"": ""bauchi"",
    ""B"": ""daqing"",
    ""C"": ""somali region"",
    ""D"": ""south""
}","{
    ""A"": ""Northern_Nigeria"",
    ""B"": ""China"",
    ""C"": ""Ethiopia"",
    ""D"": ""Iran""
}",B,"{""answer_choice"": ""B""}",B
New-in-03_1396,New-in-03,China,"What type of food from China is typically served in restaurants overseas? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. burgers
B. dumplings
C. kebab
D. rendang

Answer:","{
    ""A"": ""burgers"",
    ""B"": ""dumplings"",
    ""C"": ""kebab"",
    ""D"": ""rendang""
}","{
    ""A"": ""US"",
    ""B"": ""China"",
    ""C"": ""Iran"",
    ""D"": ""Indonesia""
}",B,"{""answer_choice"": ""B""}",B
New-en-90_753,New-en-90,China,"What is the most famous hotel brand in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. four seasons
B. home inns
C. koryo hotel
D. premier inn

Answer:","{
    ""A"": ""four seasons"",
    ""B"": ""home inns"",
    ""C"": ""koryo hotel"",
    ""D"": ""premier inn""
}","{
    ""A"": ""Azerbaijan"",
    ""B"": ""China"",
    ""C"": ""North_Korea"",
    ""D"": ""UK""
}",B,"{""answer_choice"": ""A""}",A
Sa-en-16_807,Sa-en-16,China,"What is the most popular soccer team among the people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. america
B. guangzhou fc
C. mca
D. not-applicable

Answer:","{
    ""A"": ""america"",
    ""B"": ""guangzhou fc"",
    ""C"": ""mca"",
    ""D"": ""not-applicable""
}","{
    ""A"": ""Mexico"",
    ""B"": ""China"",
    ""C"": ""Algeria"",
    ""D"": ""US""
}",B,"{""answer_choice"":""B""}",B
Jo-sp-19_926,Jo-sp-19,China,"What region in China has been traditionally associated with agriculture? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. andalusia
B. assam
C. henan
D. jigawa

Answer:","{
    ""A"": ""andalusia"",
    ""B"": ""assam"",
    ""C"": ""henan"",
    ""D"": ""jigawa""
}","{
    ""A"": ""Spain"",
    ""B"": ""Assam"",
    ""C"": ""China"",
    ""D"": ""Northern_Nigeria""
}",C,"{""answer_choice"": ""C""}",C
New-pe-85_757,New-pe-85,China,"Where is the most popular tourist destination abroad for people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. america
B. china
C. georgia
D. switzerland

Answer:","{
    ""A"": ""america"",
    ""B"": ""china"",
    ""C"": ""georgia"",
    ""D"": ""switzerland""
}","{
    ""A"": ""China"",
    ""B"": ""North_Korea"",
    ""C"": ""Azerbaijan"",
    ""D"": ""Assam""
}",A,"{""answer_choice"":""A""}",A
Ta-pe-32_430,Ta-pe-32,China,"What day of the year is usually dedicated to fireworks in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 5th november
B. easter
C. mawlid
D. spring festival's eve

Answer:","{
    ""A"": ""5th november"",
    ""B"": ""easter"",
    ""C"": ""mawlid"",
    ""D"": ""spring festival's eve""
}","{
    ""A"": ""UK"",
    ""B"": ""Greece"",
    ""C"": ""Algeria"",
    ""D"": ""China""
}",D,"{""answer_choice"": ""D""}",D
Tmp-ar-04_53,Tmp-ar-04,China,"What do elementary students in China usually do after school? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. do homework
B. playing
C. return home for food
D. they will read

Answer:","{
    ""A"": ""do homework"",
    ""B"": ""playing"",
    ""C"": ""return home for food"",
    ""D"": ""they will read""
}","{
    ""A"": ""China"",
    ""B"": ""West_Java"",
    ""C"": ""Greece"",
    ""D"": ""Ethiopia""
}",A,"{""answer_choice"":""C""}",C
New-pe-02_634,New-pe-02,China,"What is the most famous edible souvenir for tourists in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fermented cassava
B. not-applicable
C. peking duck
D. tacos

Answer:","{
    ""A"": ""fermented cassava"",
    ""B"": ""not-applicable"",
    ""C"": ""peking duck"",
    ""D"": ""tacos""
}","{
    ""A"": ""West_Java"",
    ""B"": ""US"",
    ""C"": ""China"",
    ""D"": ""Mexico""
}",C,"{""answer_choice"": ""C""}",C
New-ch-23_58,New-ch-23,China,"Who is the most famous table tennis player in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. anton suseno
B. li bun-hui
C. ma long
D. noshad alamiyan

Answer:","{
    ""A"": ""anton suseno"",
    ""B"": ""li bun-hui"",
    ""C"": ""ma long"",
    ""D"": ""noshad alamiyan""
}","{
    ""A"": ""Indonesia"",
    ""B"": ""North_Korea"",
    ""C"": ""China"",
    ""D"": ""Iran""
}",C,"{""answer_choice"": ""C""}",C
Sa-en-16_881,Sa-en-16,China,"What is the most popular soccer team among the people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. guangzhou fc
B. persepolis
C. persib
D. qarabag fk

Answer:","{
    ""A"": ""guangzhou fc"",
    ""B"": ""persepolis"",
    ""C"": ""persib"",
    ""D"": ""qarabag fk""
}","{
    ""A"": ""China"",
    ""B"": ""Iran"",
    ""C"": ""West_Java"",
    ""D"": ""Azerbaijan""
}",A,"{""answer_choice"": ""A""}",A
Sa-en-16_858,Sa-en-16,China,"What is the most popular soccer team among the people from China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. giorgis sport club
B. guangzhou fc
C. persib
D. tottenham

Answer:","{
    ""A"": ""giorgis sport club"",
    ""B"": ""guangzhou fc"",
    ""C"": ""persib"",
    ""D"": ""tottenham""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""China"",
    ""C"": ""West_Java"",
    ""D"": ""South_Korea""
}",B,"{""answer_choice"": ""B""}",B
Th-en-38_268,Th-en-38,China,"What is the most important family holiday in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. easter
B. lunar new year
C. novruz
D. thanksgiving

Answer:","{
    ""A"": ""easter"",
    ""B"": ""lunar new year"",
    ""C"": ""novruz"",
    ""D"": ""thanksgiving""
}","{
    ""A"": ""Greece"",
    ""B"": ""China"",
    ""C"": ""Azerbaijan"",
    ""D"": ""US""
}",B,"{""answer_choice"": ""B""}",B
New-az-05_125,New-az-05,China,"What is the most famous region for alcohol production in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bali
B. gazakh
C. pyongyang
D. sichuan

Answer:","{
    ""A"": ""bali"",
    ""B"": ""gazakh"",
    ""C"": ""pyongyang"",
    ""D"": ""sichuan""
}","{
    ""A"": ""Indonesia"",
    ""B"": ""Azerbaijan"",
    ""C"": ""North_Korea"",
    ""D"": ""China""
}",D,"{""answer_choice"": ""D""}",D
Na-ko-11_375,Na-ko-11,China,"What do people from China eat while watching a soccer game? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. beer
B. fritters
C. potato chips
D. tapas

Answer:","{
    ""A"": ""beer"",
    ""B"": ""fritters"",
    ""C"": ""potato chips"",
    ""D"": ""tapas""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""Indonesia"",
    ""C"": ""China"",
    ""D"": ""Spain""
}",C,"{""answer_choice"":""B""}",B
Th-en-24_1591,Th-en-24,China,"What region in China is a major hub for tech workers and start ups? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. addis ababa
B. mexico city
C. shenzhen
D. silicon valley

Answer:","{
    ""A"": ""addis ababa"",
    ""B"": ""mexico city"",
    ""C"": ""shenzhen"",
    ""D"": ""silicon valley""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""Mexico"",
    ""C"": ""China"",
    ""D"": ""US""
}",C,"{""answer_choice"": ""C""}",C
Gu-ch-07_105,Gu-ch-07,China,"Who is the most famous basketball player in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. Michael Jordan
B. denny sumargo
C. myung-hun ri
D. yao ming

Answer:","{
    ""A"": ""Michael Jordan"",
    ""B"": ""denny sumargo"",
    ""C"": ""myung-hun ri"",
    ""D"": ""yao ming""
}","{
    ""A"": ""US"",
    ""B"": ""Indonesia"",
    ""C"": ""North_Korea"",
    ""D"": ""China""
}",D,"{""answer_choice"": ""D. yao ming""}",D
Ta-pe-32_453,Ta-pe-32,China,"What day of the year is usually dedicated to fireworks in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. december 31
B. mawlid
C. not-applicable
D. spring festival's eve

Answer:","{
    ""A"": ""december 31"",
    ""B"": ""mawlid"",
    ""C"": ""not-applicable"",
    ""D"": ""spring festival's eve""
}","{
    ""A"": ""Mexico"",
    ""B"": ""Algeria"",
    ""C"": ""South_Korea"",
    ""D"": ""China""
}",D,"{""answer_choice"": ""D""}",D
New-pe-76_42,New-pe-76,China,"What is a popular activity to do in parks in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. picnic
B. playing soccer with friends
C. square dance
D. walking

Answer:","{
    ""A"": ""picnic"",
    ""B"": ""playing soccer with friends"",
    ""C"": ""square dance"",
    ""D"": ""walking""
}","{
    ""A"": ""West_Java"",
    ""B"": ""Indonesia"",
    ""C"": ""China"",
    ""D"": ""Iran""
}",C,"{""answer_choice"":""C""}",C
Th-en-38_222,Th-en-38,China,"What is the most important family holiday in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. birthday's celebrations
B. christmas
C. lunar new year
D. novruz

Answer:","{
    ""A"": ""birthday's celebrations"",
    ""B"": ""christmas"",
    ""C"": ""lunar new year"",
    ""D"": ""novruz""
}","{
    ""A"": ""Mexico"",
    ""B"": ""UK"",
    ""C"": ""China"",
    ""D"": ""Azerbaijan""
}",C,"{""answer_choice"":""C""}",C
New-ko-04_153,New-ko-04,China,"Which toys are most popular among boys in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. ball
B. beads
C. soccer
D. toy car

Answer:","{
    ""A"": ""ball"",
    ""B"": ""beads"",
    ""C"": ""soccer"",
    ""D"": ""toy car""
}","{
    ""A"": ""Northern_Nigeria"",
    ""B"": ""Algeria"",
    ""C"": ""Greece"",
    ""D"": ""China""
}",D,"{""answer_choice"": ""D""}",D
Th-en-03_35,Th-en-03,China,"What is the most popular professional sports league in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. a1
B. cba
C. kbo
D. tour de france

Answer:","{
    ""A"": ""a1"",
    ""B"": ""cba"",
    ""C"": ""kbo"",
    ""D"": ""tour de france""
}","{
    ""A"": ""Greece"",
    ""B"": ""China"",
    ""C"": ""South_Korea"",
    ""D"": ""dummy""
}",B,"{""answer_choice"":""B""}",B
New-ha-66_274,New-ha-66,China,"What is the most popular wedding venue in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cancun
B. hotel
C. house
D. mosque

Answer:","{
    ""A"": ""cancun"",
    ""B"": ""hotel"",
    ""C"": ""house"",
    ""D"": ""mosque""
}","{
    ""A"": ""Mexico"",
    ""B"": ""China"",
    ""C"": ""North_Korea"",
    ""D"": ""Northern_Nigeria""
}",B,"{""answer_choice"": ""B""}",B
New-in-34_968,New-in-34,China,"What region in China is usually associated with oil? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. TX
B. daqing
C. not-applicable
D. south

Answer:","{
    ""A"": ""TX"",
    ""B"": ""daqing"",
    ""C"": ""not-applicable"",
    ""D"": ""south""
}","{
    ""A"": ""US"",
    ""B"": ""China"",
    ""C"": ""South_Korea"",
    ""D"": ""Iran""
}",B,"{""answer_choice"": ""B""}",B
Th-en-19_840,Th-en-19,China,"What is a city or region in China known for manufacturing industry? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. athens
B. catalonia
C. cikarang
D. shenzhen

Answer:","{
    ""A"": ""athens"",
    ""B"": ""catalonia"",
    ""C"": ""cikarang"",
    ""D"": ""shenzhen""
}","{
    ""A"": ""Greece"",
    ""B"": ""Spain"",
    ""C"": ""West_Java"",
    ""D"": ""China""
}",D,"{""answer_choice"": ""D""}",D
New-en-90_726,New-en-90,China,"What is the most famous hotel brand in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. espinas palace
B. four seasons
C. home inns
D. koryo hotel

Answer:","{
    ""A"": ""espinas palace"",
    ""B"": ""four seasons"",
    ""C"": ""home inns"",
    ""D"": ""koryo hotel""
}","{
    ""A"": ""Iran"",
    ""B"": ""Azerbaijan"",
    ""C"": ""China"",
    ""D"": ""North_Korea""
}",C,"{""answer_choice"": ""B""}",B
Jo-sp-19_841,Jo-sp-19,China,"What region in China has been traditionally associated with agriculture? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. henan
B. midwest
C. mitidja
D. yorkshire

Answer:","{
    ""A"": ""henan"",
    ""B"": ""midwest"",
    ""C"": ""mitidja"",
    ""D"": ""yorkshire""
}","{
    ""A"": ""China"",
    ""B"": ""US"",
    ""C"": ""Algeria"",
    ""D"": ""UK""
}",A,"{""answer_choice"": ""A""}",A
Gu-ch-32_56,Gu-ch-32,China,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.) Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. 14
B. 15
C. 18
D. 9

Answer:","{
    ""A"": ""14"",
    ""B"": ""15"",
    ""C"": ""18"",
    ""D"": ""9""
}","{
    ""A"": ""Assam"",
    ""B"": ""Mexico"",
    ""C"": ""Ethiopia"",
    ""D"": ""China""
}",D,"{""answer_choice"":""C""}",C
New-pe-02_655,New-pe-02,China,"What is the most famous edible souvenir for tourists in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. couscous
B. mooncake
C. paella
D. rock candy

Answer:","{
    ""A"": ""couscous"",
    ""B"": ""mooncake"",
    ""C"": ""paella"",
    ""D"": ""rock candy""
}","{
    ""A"": ""Algeria"",
    ""B"": ""China"",
    ""C"": ""Spain"",
    ""D"": ""UK""
}",B,"{""answer_choice"": ""B""}",B
New-in-03_1526,New-in-03,China,"What type of food from China is typically served in restaurants overseas? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. dumplings
B. moussaka
C. pork belly
D. pyongyang raengmyŏn

Answer:","{
    ""A"": ""dumplings"",
    ""B"": ""moussaka"",
    ""C"": ""pork belly"",
    ""D"": ""pyongyang raengmyŏn""
}","{
    ""A"": ""China"",
    ""B"": ""Greece"",
    ""C"": ""South_Korea"",
    ""D"": ""North_Korea""
}",A,"{""answer_choice"": ""A""}",A
Th-en-24_1636,Th-en-24,China,"What region in China is a major hub for tech workers and start ups? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. bandung
B. guwahati
C. shenzhen
D. tehran

Answer:","{
    ""A"": ""bandung"",
    ""B"": ""guwahati"",
    ""C"": ""shenzhen"",
    ""D"": ""tehran""
}","{
    ""A"": ""West_Java"",
    ""B"": ""Assam"",
    ""C"": ""China"",
    ""D"": ""Iran""
}",C,"{""answer_choice"": ""C""}",C
Nu-in-40_1330,Nu-in-40,China,"Which city is the main destination for job seekers in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. beijing
B. bekasi
C. jakarta
D. mexico city

Answer:","{
    ""A"": ""beijing"",
    ""B"": ""bekasi"",
    ""C"": ""jakarta"",
    ""D"": ""mexico city""
}","{
    ""A"": ""China"",
    ""B"": ""West_Java"",
    ""C"": ""Indonesia"",
    ""D"": ""Mexico""
}",A,"{""answer_choice"": ""A""}",A
New-gr-76_88,New-gr-76,China,"What is the most common food served during Easter in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. ham
B. lamb on the spit
C. not-applicable
D. pilau

Answer:","{
    ""A"": ""ham"",
    ""B"": ""lamb on the spit"",
    ""C"": ""not-applicable"",
    ""D"": ""pilau""
}","{
    ""A"": ""US"",
    ""B"": ""Greece"",
    ""C"": ""China"",
    ""D"": ""Assam""
}",C,"{""answer_choice"":""C""}",C
Na-ko-09_123,Na-ko-09,China,"What side dish is the most commonly served on a dining table in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. fried tempeh
B. green vegetables
C. potatoes
D. salad

Answer:","{
    ""A"": ""fried tempeh"",
    ""B"": ""green vegetables"",
    ""C"": ""potatoes"",
    ""D"": ""salad""
}","{
    ""A"": ""Indonesia"",
    ""B"": ""China"",
    ""C"": ""Spain"",
    ""D"": ""Algeria""
}",B,"{""answer_choice"": ""B""}",B
Th-en-12_673,Th-en-12,China,"In which sport has China been most successful in international competitions? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. ping pong
B. race
C. rugby
D. soccer

Answer:","{
    ""A"": ""ping pong"",
    ""B"": ""race"",
    ""C"": ""rugby"",
    ""D"": ""soccer""
}","{
    ""A"": ""China"",
    ""B"": ""Assam"",
    ""C"": ""UK"",
    ""D"": ""Spain""
}",A,"{""answer_choice"": ""A""}",A
Ta-pe-37_771,Ta-pe-37,China,"What is the common symbol of New Year's Eve that is usually found in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. eve music
B. haft-seen
C. new year scrolls
D. trumpet

Answer:","{
    ""A"": ""eve music"",
    ""B"": ""haft-seen"",
    ""C"": ""new year scrolls"",
    ""D"": ""trumpet""
}","{
    ""A"": ""Ethiopia"",
    ""B"": ""Iran"",
    ""C"": ""China"",
    ""D"": ""West_Java""
}",C,"{""answer_choice"": ""C""}",C
Th-en-19_1045,Th-en-19,China,"What is a city or region in China known for manufacturing industry? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. catalonia
B. cikarang
C. suzhou
D. ulsan

Answer:","{
    ""A"": ""catalonia"",
    ""B"": ""cikarang"",
    ""C"": ""suzhou"",
    ""D"": ""ulsan""
}","{
    ""A"": ""Spain"",
    ""B"": ""West_Java"",
    ""C"": ""China"",
    ""D"": ""South_Korea""
}",C,"{""answer_choice"": ""C""}",C
Th-en-19_769,Th-en-19,China,"What is a city or region in China known for manufacturing industry? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. athens
B. monterrey
C. shenzhen
D. ulsan

Answer:","{
    ""A"": ""athens"",
    ""B"": ""monterrey"",
    ""C"": ""shenzhen"",
    ""D"": ""ulsan""
}","{
    ""A"": ""Greece"",
    ""B"": ""Mexico"",
    ""C"": ""China"",
    ""D"": ""South_Korea""
}",C,"{""answer_choice"": ""C""}",C
New-su-86_36,New-su-86,China,"What is the most famous government building in China? Without any explanation, choose only one from the given alphabet choices(e.g., A, B, C). Provide as JSON format: {""answer_choice"":""""}

A. cheongwadae
B. great hall of the people
C. sydney opera house
D. white house

Answer:","{
    ""A"": ""cheongwadae"",
    ""B"": ""great hall of the people"",
    ""C"": ""sydney opera house"",
    ""D"": ""white house""
}","{
    ""A"": ""South_Korea"",
    ""B"": ""China"",
    ""C"": ""dummy"",
    ""D"": ""US""
}",B,"{""answer_choice"": ""B""}",B
